IATA,Name,City,Official Country Name
EKS,Shakhtyorsk Airport,Shakhtersk,Russian Federation
DEE,Mendeleyevo Airport,Kunashir Island,Russian Federation
ZZO,Zonalnoye Airport,Tymovskoye,Russian Federation
UUS,Yuzhno-Sakhalinsk Airport,Yuzhno-Sakhalinsk,Russian Federation
AEM,Amgu Airport,Amgu,Russian Federation
TLY,Plastun Airport,Plastun,Russian Federation
VVO,Vladivostok International Airport,Vladivostok,Russian Federation
HTA,Chita-Kadala Airport,Chita,Russian Federation
BTK,Bratsk Airport,Bratsk,Russian Federation
UIK,Ust-Ilimsk Airport,Ust-Ilimsk,Russian Federation
IKT,Irkutsk Airport,Irkutsk,Russian Federation
ODO,Bodaybo Airport,Bodaybo,Russian Federation
ERG,Yerbogachen Airport,Erbogachen,Russian Federation
KCK,Kirensk Airport,Kirensk,Russian Federation
UKX,Ust-Kut Airport,Ust-Kut,Russian Federation
UUD,Ulan-Ude Airport (Mukhino),Ulan Ude,Russian Federation
KBP,Boryspil International Airport,Kyiv,Ukraine
MXR,Myrhorod Air Base,Myrhorod,Ukraine
DOK,Donetsk International Airport,Donetsk,Ukraine
KRQ,Kramatorsk Airport,Kramatorsk,Ukraine
MPW,Mariupol International Airport,Mariupol,Ukraine
SEV,Sievierodonetsk Airport,Sievierodonetsk,Ukraine
VSG,Luhansk International Airport,Luhansk,Ukraine
ERD,Berdyansk Airport,Berdiansk,Ukraine
DNK,Dnipro International Airport,Dnipro,Ukraine
OZH,Zaporizhzhia International Airport,Zaporizhzhia,Ukraine
KWG,Kryvyi Rih International Airport,Kryvyi Rih,Ukraine
SIP,Simferopol International Airport,Simferopol,Ukraine
KHC,Kerch Airport,Kerch,Ukraine
HRK,Kharkiv International Airport,Kharkiv,Ukraine
PLV,Poltava International Airport,Poltava,Ukraine
UMY,Sumy Airport,Sumy,Ukraine
CKC,Cherkasy International Airport,Cherkasy,Ukraine
KGO,Kropyvnytskyi Airport,Kropyvnytskyi,Ukraine
IEV,Kyiv Zhuliany International Airport,Kyiv,Ukraine
ZTR,Zhytomyr International Airport,Zhytomyr,Ukraine
UCK,Lutsk Airport,Lutsk,Ukraine
HMJ,Khmelnytskyi Airport,Khmelnytskyi,Ukraine
IFO,Ivano-Frankivsk International Airport,Ivano-Frankivsk,Ukraine
LWO,Lviv International Airport,Lviv,Ukraine
CWC,Chernivtsi International Airport,Chernivtsi,Ukraine
RWN,Rivne International Airport,Rivne,Ukraine
TNL,Ternopil International Airport,Ternopil,Ukraine
UDJ,Uzhhorod International Airport,Uzhhorod,Ukraine
ODS,Odesa International Airport,Odesa,Ukraine
VIN,Havryshivka Vinnytsia International Airport,Vinnitsa,Ukraine
ARH,Talagi Airport,Archangelsk,Russian Federation
LDG,Leshukonskoye Airport,Leshukonskoye,Russian Federation
NNM,Naryan Mar Airport,Naryan Mar,Russian Federation
CSH,Solovki Airport,Solovetsky Islands,Russian Federation
AMV,Amderma Airport,Amderma,Russian Federation
KSZ,Kotlas Airport,Kotlas,Russian Federation
LED,Pulkovo Airport,St. Petersburg,Russian Federation
KVK,Kirovsk-Apatity Airport,Apatity,Russian Federation
MMK,Murmansk Airport,Murmansk,Russian Federation
VLU,Velikiye Luki Airport,Velikiye Luki,Russian Federation
PKV,Pskov Airport,Pskov,Russian Federation
PES,Petrozavodsk Airport,Petrozavodsk,Russian Federation
CEE,Cherepovets Airport,Cherepovets,Russian Federation
VUS,Velikiy Ustyug Airport,Velikiy Ustyug,Russian Federation
VGD,Vologda Airport,Vologda,Russian Federation
BQT,Brest Airport,Brest,Republic of Belarus
GME,Gomel Airport,Gomel,Republic of Belarus
VTB,Vitebsk East Airport,Vitebsk,Republic of Belarus
KGD,Khrabrovo Airport,Kaliningrad,Russian Federation
GNA,Hrodna Airport,Hrodna,Republic of Belarus
MSQ,Minsk International Airport,Minsk,Republic of Belarus
MVQ,Mogilev Airport,Mogilev,Republic of Belarus
ABA,Abakan Airport,Abakan,Russian Federation
BAX,Barnaul Airport,Barnaul,Russian Federation
RGK,Gorno-Altaysk Airport,Gorno-Altaysk,Russian Federation
KEJ,Kemerovo Airport,Kemerovo,Russian Federation
EIE,Yeniseysk Airport,Yeniseysk,Russian Federation
TGP,Podkamennaya Tunguska Airport,Bor,Russian Federation
KJA,Yemelyanovo Airport,Krasnoyarsk,Russian Federation
ACS,Achinsk Airport,Achinsk,Russian Federation
KYZ,Kyzyl Airport,Kyzyl,Russian Federation
OVB,Tolmachevo Airport,Novosibirsk,Russian Federation
OMS,Omsk Central Airport,Omsk,Russian Federation
SWT,Strezhevoy Airport,Strezhevoy,Russian Federation
TOF,Bogashevo Airport,Tomsk,Russian Federation
NOZ,Spichenkovo Airport,Novokuznetsk,Russian Federation
DKS,Dikson Airport,Dikson,Russian Federation
HTG,Khatanga Airport,Khatanga,Russian Federation
IAA,Igarka Airport,Igarka,Russian Federation
NSK,Norilsk-Alykel Airport,Norilsk,Russian Federation
THX,Turukhansk Airport,Turukhansk,Russian Federation
UKS,Sevastopol International Airport,Sevastopol,Ukraine
AAQ,Anapa Airport,Anapa,Russian Federation
EIK,Yeysk Airport,Yeysk,Russian Federation
GDZ,Gelendzhik Airport,Gelendzhik,Russian Federation
KRR,Krasnodar International Airport,Krasnodar,Russian Federation
GRV,Grozny North Airport,Grozny,Russian Federation
MCX,Uytash Airport,Makhachkala,Russian Federation
MRV,Mineralnyye Vody Airport,Mineralnyye Vody,Russian Federation
NAL,Nalchik Airport,Nalchik,Russian Federation
OGZ,Beslan Airport,Beslan,Russian Federation
IGT,Magas Airport,Magas,Russian Federation
STW,Stavropol Shpakovskoye Airport,Stavropol,Russian Federation
ROV,Platov International Airport,Rostov-on-Don,Russian Federation
RVI,Rostov-na-Donu Airport,Rostov-on-Don,Russian Federation
TGK,Taganrog Yuzhny Airport,Taganrog,Russian Federation
AER,Sochi International Airport,Sochi,Russian Federation
ASF,Astrakhan Airport,Astrakhan,Russian Federation
ESL,Elista Airport,Elista,Russian Federation
VOG,Volgograd International Airport,Volgograd,Russian Federation
CEK,Chelyabinsk Balandino Airport,Chelyabinsk,Russian Federation
MQF,Magnitogorsk International Airport,Magnitogorsk,Russian Federation
SBT,Sabetta Airport,Sabetta,Russian Federation
BVJ,Bovanenkovo,Bovanenkovo,Russian Federation
SLY,Salekhard Airport,Salekhard,Russian Federation
YMK,Mys Kamenny Airport,Mys Kamennyi,Russian Federation
KKQ,Krasnoselkup Airport,Krasnoselkup,Russian Federation
TQL,Tarko-Sale Airport,Tarko-Sale,Russian Federation
UEN,Urengoy Airport,Urengoy,Russian Federation
HMA,Khanty Mansiysk Airport,Khanty-Mansiysk,Russian Federation
KXD,Kondinskoye Airport,Kondinskoye,Russian Federation
NYA,Nyagan Airport,Nyagan,Russian Federation
OVS,Sovetskiy Airport,Sovetskiy,Russian Federation
URJ,Uray Airport,Uray,Russian Federation
IJK,Izhevsk Airport,Izhevsk,Russian Federation
KVX,Pobedilovo Airport,Kirov,Russian Federation
NYM,Nadym Airport,Nadym,Russian Federation
NUX,Novy Urengoy Airport,Novy Urengoy,Russian Federation
NJC,Nizhnevartovsk Airport,Nizhnevartovsk,Russian Federation
PEE,Bolshoye Savino Airport,Perm,Russian Federation
KGP,Kogalym International Airport,Kogalym,Russian Federation
NFG,Nefteyugansk Airport,Nefteyugansk,Russian Federation
NOJ,Noyabrsk Airport,Noyabrsk,Russian Federation
SGC,Surgut Airport,Surgut,Russian Federation
SVX,Koltsovo Airport,Yekaterinburg,Russian Federation
TOX,Tobolsk Airport,Tobolsk,Russian Federation
TJM,Roshchino International Airport,Tyumen,Russian Federation
KRO,Kurgan Airport,Kurgan,Russian Federation
GMV,Monument Valley Airport,Monument Valley,United States of America
ASB,Ashgabat Airport,Ashgabat,Turkmenistan
KEA,Kerki International Airport,Kerki,Turkmenistan
KRW,Turkmenbashi Airport,Krasnovodsk,Turkmenistan
MYP,Mary Airport,Mary,Turkmenistan
BKN,Balkanabat International Airport,Jebel,Turkmenistan
TAZ,Dashoguz Airport,Dashoguz,Turkmenistan
CRZ,Turkmenabat International Airport,Turkmenabat,Turkmenistan
DYU,Dushanbe Airport,Dushanbe,Republic of Tajikistan
TJU,Kulob Airport,Kulyab,Republic of Tajikistan
LBD,Khudzhand Airport,Khudzhand,Republic of Tajikistan
KQT,Qurghonteppa International Airport,Kurgan-Tyube,Republic of Tajikistan
KMW,Kostroma Sokerkino Airport,Kostroma,Russian Federation
BKA,Bykovo Airport,Moscow,Russian Federation
KLF,Grabtsevo Airport,Kaluga,Russian Federation
IWA,Ivanovo South Airport,Ivanovo,Russian Federation
RYB,Staroselye Airport,Rybinsk,Russian Federation
BZK,Bryansk Airport,Bryansk,Russian Federation
LNX,Smolensk South Airport,Smolensk,Russian Federation
ZIA,Ramenskoye Airport,Zhukovsky,Russian Federation
DME,Domodedovo International Airport,Moscow,Russian Federation
SVO,Sheremetyevo International Airport,Moscow,Russian Federation
KLD,Migalovo Air Base,Tver,Russian Federation
OSF,Ostafyevo International Airport,Moscow,Russian Federation
CKL,Chkalovskiy Airport,Moscow,Russian Federation
EGO,Belgorod International Airport,Belgorod,Russian Federation
URS,Kursk East Airport,Kursk,Russian Federation
LPK,Lipetsk Airport,Lipetsk,Russian Federation
VOZ,Voronezh International Airport,Voronezh,Russian Federation
OEL,Oryol Yuzhny Airport,Orel,Russian Federation
TBW,Donskoye Airport,Tambov,Russian Federation
RZN,Turlatovo Airport,Ryazan,Russian Federation
VKO,Vnukovo International Airport,Moscow,Russian Federation
UCT,Ukhta Airport,Ukhta,Russian Federation
INA,Inta Airport,Inta,Russian Federation
PEX,Pechora Airport,Pechora,Russian Federation
USK,Usinsk Airport,Usinsk,Russian Federation
VKT,Vorkuta Airport,Vorkuta,Russian Federation
UTS,Ust-Tsylma Airport,Ust-Tsylma,Russian Federation
SCW,Syktyvkar Airport,Syktyvkar,Russian Federation
GOJ,Nizhny Novgorod International Airport,Nizhny Novgorod,Russian Federation
UUA,Bugulma Airport,Bugulma,Russian Federation
KZN,Kazan International Airport,Kazan,Russian Federation
NBC,Begishevo Airport,Nizhnekamsk,Russian Federation
CSY,Cheboksary Airport,Cheboksary,Russian Federation
ULV,Ulyanovsk Baratayevka Airport,Ulyanovsk,Russian Federation
ULY,Ulyanovsk East Airport,Ulyanovsk,Russian Federation
REN,Orenburg Central Airport,Orenburg,Russian Federation
OSW,Orsk Airport,Orsk,Russian Federation
PEZ,Penza Airport,Penza,Russian Federation
SKX,Saransk Airport,Saransk,Russian Federation
BWO,Balakovo Airport,Balakovo,Russian Federation
GSV,Gagarin Airport,Saratov,Russian Federation
BCX,Beloretsk Airport,Beloretsk,Russian Federation
NEF,Neftekamsk Airport,Neftekamsk,Russian Federation
OKT,Oktyabrskiy Airport,Kzyl-Yar,Russian Federation
UFA,Ufa International Airport,Ufa,Russian Federation
KUF,Kurumoch International Airport,Samara,Russian Federation
AZN,Andizhan Airport,Andizhan,Republic of Uzbekistan
FEG,Fergana Airport,Fergana,Republic of Uzbekistan
OQN,Kokand Airport,Kokand,Republic of Uzbekistan
NMA,Namangan Airport,Namangan,Republic of Uzbekistan
NCU,Nukus Airport,Nukus,Republic of Uzbekistan
UGC,Urgench Airport,Urgench,Republic of Uzbekistan
NVI,Navoi Airport,Navoi,Republic of Uzbekistan
BHK,Bukhara Airport,Bukhara,Republic of Uzbekistan
KSQ,Karshi Airport,Karshi,Republic of Uzbekistan
AFS,Sugraly Airport,Zarafshan,Republic of Uzbekistan
SKD,Samarkand Airport,Samarkand,Republic of Uzbekistan
TMJ,Termez Airport,Termez,Republic of Uzbekistan
TAS,Tashkent International Airport,Tashkent,Republic of Uzbekistan
OMN,Zomin Airport,Lyaylyakul,Republic of Uzbekistan
DIU,Diu Airport,Diu,Republic of India
AMD,Sardar Vallabhbhai Patel International Airport,Ahmedabad,Republic of India
IXU,Aurangabad Airport,Aurangabad,Republic of India
BOM,Chhatrapati Shivaji International Airport,Mumbai,Republic of India
BHJ,Bhuj Airport,Bhuj,Republic of India
BDQ,Vadodara Airport,Vadodara,Republic of India
BHO,Bhopal Airport,Bhopal,Republic of India
BHU,Bhavnagar Airport,Bhavnagar,Republic of India
HBX,Hubli Airport,Hubli,Republic of India
HSR,Rajkot International Airport,Rajkot,Republic of India
IDR,Devi Ahilyabai Holkar Airport,Indore,Republic of India
JGA,Jamnagar Airport,Jamnagar,Republic of India
IXY,Kandla Airport,Kandla,Republic of India
HJR,Khajuraho Airport,Khajuraho,Republic of India
LTU,Murod Kond Airport,Latur,Republic of India
NDC,Nanded Airport,Nanded,Republic of India
NMI,Navi Mumbai International Airport,Navi Mumbai,Republic of India
NAG,Dr. Babasaheb Ambedkar International Airport,Naqpur,Republic of India
ISK,Ozar Airport,Nasik,Republic of India
PNQ,Pune Airport,Pune,Republic of India
PBD,Porbandar Airport,Porbandar,Republic of India
RPR,Raipur Airport,Raipur,Republic of India
SSE,Solapur Airport,Solapur,Republic of India
UDR,Maharana Pratap Airport,Udaipur,Republic of India
CMB,Bandaranaike International Apt Colombo Airport,Colombo,Democratic Socialist Republic of Sri Lanka
ACJ,Anuradhapura Airport,Anuradhapura,Democratic Socialist Republic of Sri Lanka
BTC,Batticaloa Airport,Batticaloa,Democratic Socialist Republic of Sri Lanka
RML,Colombo Int Arpt Ratmalana Airport,Colombo,Democratic Socialist Republic of Sri Lanka
