IATA,Name,City,Country_y,Alpha-2 code
YNC,Wemindji Airport,Wemindji,Canada,CA
YND,Ottawa / Gatineau Airport,Gatineau,Canada,CA
YNE,Norway House Airport,Norway House,Canada,CA
YNH,Hudsons Hope Airport,Hudson's Hope,Canada,CA
YLY,Langley Airport,Langley,Canada,CA
YNL,Points North Landing Airport,Points North Landing,Canada,CA
YNM,Matagami Airport,Matagami,Canada,CA
YNN,Nejanilini Lake Airport,Nejanilini Lake,Canada,CA
HZP,Fort Mackay / Horizon Airport,Fort Mackay,Canada,CA
YOA,Ekati Airport,Ekati,Canada,CA
YOC,Old Crow Airport,Old Crow,Canada,CA
YOD,CFB Cold Lake,Cold Lake,Canada,CA
YOH,Oxford House Airport,Oxford House,Canada,CA
YOJ,High Level Airport,High Level,Canada,CA
YOO,Oshawa Airport,Oshawa,Canada,CA
YOP,Rainbow Lake Airport,Rainbow Lake,Canada,CA
YOS,Owen Sound / Billy Bishop Regional Airport,Owen Sound,Canada,CA
YOW,Ottawa / Macdonald-Cartier International Airport,Ottawa,Canada,CA
YPA,Prince Albert (Glass Field) Airport,Prince Albert,Canada,CA
YPC,Paulatuk (Nora Aliqatchialuk Ruben) Airport,Paulatuk,Canada,CA
YPS,Port Hawkesbury Airport,Port Hawkesbury,Canada,CA
YPE,Peace River Airport,Peace River,Canada,CA
YPG,Southport Airport,Portage,Canada,CA
YPH,Inukjuak Airport,Inukjuak,Canada,CA
YPK,Pitt Meadows Airport,Pitt Meadows,Canada,CA
YPL,Pickle Lake Airport,Pickle Lake,Canada,CA
YPM,Pikangikum Airport,Pikangikum,Canada,CA
YPN,Port Menier Airport,Port-Menier,Canada,CA
YPO,Peawanuck Airport,Peawanuck,Canada,CA
YPQ,Peterborough Airport,Peterborough,Canada,CA
YPR,Prince Rupert Airport,Prince Rupert,Canada,CA
YPW,Powell River Airport,Powell River,Canada,CA
YPX,Puvirnituq Airport,Puvirnituq,Canada,CA
YPY,Fort Chipewyan Airport,Fort Chipewyan,Canada,CA
YPZ,Burns Lake Airport,Burns Lake,Canada,CA
YQA,Muskoka Airport,Muskoka,Canada,CA
YQB,Québec City Jean Lesage International Airport,Quebec City,Canada,CA
YQD,The Pas Airport,The Pas,Canada,CA
YQF,Red Deer Regional Airport,Red Deer,Canada,CA
YQG,Windsor Airport,Windsor,Canada,CA
YQH,Watson Lake Airport,Watson Lake,Canada,CA
YQI,Yarmouth Airport,Yarmouth,Canada,CA
YQK,Kenora Airport,Kenora,Canada,CA
YQL,Lethbridge Airport,Lethbridge,Canada,CA
YQM,Moncton / Greater Moncton International Airport,Moncton,Canada,CA
YQN,Nakina Airport,Nakina,Canada,CA
YQQ,Comox Airport,Comox,Canada,CA
YQR,Regina International Airport,Regina,Canada,CA
YQS,St Thomas Municipal Airport,St Thomas,Canada,CA
YQT,Thunder Bay Airport,Thunder Bay,Canada,CA
YQU,Grande Prairie Airport,Grande Prairie,Canada,CA
YQV,Yorkton Municipal Airport,Yorkton,Canada,CA
YQW,North Battleford Airport,North Battleford,Canada,CA
YQX,Gander International Airport,Gander,Canada,CA
YQY,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,CA
YQZ,Quesnel Airport,Quesnel,Canada,CA
YRA,Rae Lakes Airport,Gameti,Canada,CA
YRB,Resolute Bay Airport,Resolute Bay,Canada,CA
YRI,Riviere-du-Loup Airport,Riviere-du-Loup,Canada,CA
YRJ,Roberval Airport,Roberval,Canada,CA
YRL,Red Lake Airport,Red Lake,Canada,CA
YRM,Rocky Mountain House Airport,Rocky Mountain House,Canada,CA
YRO,Ottawa / Rockcliffe Airport,Ottawa,Canada,CA
YRQ,Trois-Rivieres Airport,Trois-Rivieres,Canada,CA
